Id,m1,m2,m3
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,us-east-1:CWAgent InstanceId:i-00a94ce43a34c02aa swap_used_percent Average 300,us-east-1:CWAgent InstanceId:i-00a94ce43a34c02aa mem_used_percent Average 300,us-east-1:CWAgent fstype:ext4 InstanceId:i-00a94ce43a34c02aa path:/ disk_used_percent Average 300
Label,swap_used_percent,mem_used_percent,ext4 / disk_used_percent
2026/04/11 00:40:00,0,17.82850193576654,13.350018445418998
2026/04/11 00:45:00,0.0027465925086689325,15.737996916695499,13.403923615803446
2026/04/11 00:50:00,0.006866481271672331,15.100330237062304,13.42251616221942
2026/04/11 00:55:00,16.10960429994316,54.06875400512247,20.316838896566157
2026/04/11 01:00:00,48.860660021438676,74.15924674011183,22.162920185010005
2026/04/11 01:05:00,22.591715208874543,38.245587455495794,22.179120548578204
